Path Length, Path Cost,stl_time,Binary Heap Execution Time(ms), Fibonacci Heap Execution Time(ms)
1000000000000000000,1000000000000000000,0.599,0.496,1.583
14,5434732700,0.591,0.474,1.55
1000000000000000000,1000000000000000000,0.007,0.192,0.007
9,2762236171,0.598,0.469,1.54
8,3054671927,0.557,0.473,1.573
1000000000000000000,1000000000000000000,0.007,0.192,0.007
1000000000000000000,1000000000000000000,0.008,0.193,0.008
9,5749547491,0.558,0.506,1.532
11,3465497840,0.564,0.474,1.553
8,5184135328,0.551,0.469,1.558
1000000000000000000,1000000000000000000,0.008,0.193,0.007
8,4105177073,0.63,0.508,1.564
9,2669001708,0.591,0.503,1.655
11,6130149638,0.573,0.482,1.598
1000000000000000000,1000000000000000000,0.008,0.198,0.008
1000000000000000000,1000000000000000000,0.559,0.47,1.621
9,3922125711,0.558,0.508,1.527
7,3915651543,0.567,0.475,1.601
1000000000000000000,1000000000000000000,0.571,0.479,1.587
11,4831991807,0.597,0.471,1.546
1000000000000000000,1000000000000000000,0.008,0.192,0.007
1000000000000000000,1000000000000000000,0.632,0.512,1.547
1000000000000000000,1000000000000000000,0.559,0.47,1.531
12,5348367482,0.568,0.474,1.589
1000000000000000000,1000000000000000000,0.007,0.192,0.007
12,3336871100,0.564,0.474,1.545
8,3544627587,0.564,0.475,1.567
1000000000000000000,1000000000000000000,0.008,0.193,0.008
1000000000000000000,1000000000000000000,0.008,0.193,0.007
14,4929891728,0.597,0.505,1.535
9,4002755683,0.558,0.476,1.572
13,6444493906,0.605,0.466,1.549
9,4321261663,0.593,0.497,1.627
1000000000000000000,1000000000000000000,0.008,0.203,0.008
6,2092601632,0.597,0.502,1.651
6,3575107660,0.597,0.498,1.652
1000000000000000000,1000000000000000000,0.008,0.203,0.008
8,4336092582,0.57,0.506,1.603
16,7851950500,0.578,0.485,1.593
9,4373082888,0.572,0.485,1.571
1000000000000000000,1000000000000000000,0.008,0.197,0.007
12,5254185902,0.553,0.489,1.553
9,4830452256,0.562,0.476,1.552
10,3171839237,0.553,0.47,1.523
1000000000000000000,1000000000000000000,0.008,0.192,0.008
14,6623451570,0.562,0.474,1.591
12,2712038489,0.559,0.473,1.575
1000000000000000000,1000000000000000000,0.55,0.468,1.543
1000000000000000000,1000000000000000000,0.007,0.192,0.007
13,4871358353,0.558,0.506,1.528
1000000000000000000,1000000000000000000,0.563,0.472,1.561
1000000000000000000,1000000000000000000,0.6,0.471,1.518
12,4597224454,0.573,0.513,1.615
7,2756421102,0.574,0.484,1.576
1000000000000000000,1000000000000000000,0.559,0.472,1.605
12,5282471351,0.609,0.47,1.528
11,4860695667,0.56,0.472,1.556
10,5183201506,0.563,0.472,1.562
1000000000000000000,1000000000000000000,0.008,0.193,0.007
10,3377610593,0.556,0.557,1.518
5,2752684357,0.557,0.469,1.535
6,2260387855,0.553,0.468,1.566
11,5351649916,0.628,0.47,1.529
1000000000000000000,1000000000000000000,0.561,0.471,1.534
9,3914105027,0.561,0.471,1.57
1000000000000000000,1000000000000000000,0.008,0.192,0.007
1000000000000000000,1000000000000000000,0.562,0.506,1.537
8,3430744737,0.56,0.471,1.542
9,5626527256,0.555,0.47,1.525
18,3870057877,0.611,0.503,1.618
13,5216460636,0.571,0.482,1.585
1000000000000000000,1000000000000000000,0.551,0.465,1.55
13,7490318051,0.604,0.478,1.561
1000000000000000000,1000000000000000000,0.565,0.472,1.576
3,1286571940,0.555,0.468,1.519
1000000000000000000,1000000000000000000,0.563,0.474,1.532
1000000000000000000,1000000000000000000,0.56,0.472,1.556
1000000000000000000,1000000000000000000,0.562,0.472,1.552
1000000000000000000,1000000000000000000,0.558,0.507,1.542
3,1248427534,0.563,0.474,1.555
1000000000000000000,1000000000000000000,0.555,0.472,1.521
1000000000000000000,1000000000000000000,0.561,0.471,1.539
5,2293682252,0.558,0.469,1.54
1000000000000000000,1000000000000000000,0.008,0.193,0.007
8,3525925119,0.733,0.51,1.645
1000000000000000000,1000000000000000000,0.615,0.76,1.854
1000000000000000000,1000000000000000000,0.01,0.289,0.009
6,2328903802,0.732,0.734,1.733
14,4888081627,0.597,0.627,1.764
7,2812594008,0.638,0.503,1.691
3,729450214,0.573,1.502,1.938
1000000000000000000,1000000000000000000,0.008,0.205,0.008
13,7184986169,0.561,0.749,1.635
11,5048755284,0.563,0.475,1.655
12,2426667744,0.56,0.469,1.627
11,3347165871,0.561,0.514,1.59
1000000000000000000,1000000000000000000,0.697,0.547,1.665
7,2547637638,0.565,0.475,1.649
1000000000000000000,1000000000000000000,0.008,0.193,0.008
13,3897564970,0.555,0.467,1.635
3,1216601088,0.566,0.476,1.557
1000000000000000000,1000000000000000000,0.007,0.269,0.008
6,2812871134,0.568,0.479,1.614
1000000000000000000,1000000000000000000,0.007,0.192,0.007
5,2083891912,0.587,0.495,1.636
14,5939421740,0.589,0.499,1.615
14,2579379979,0.591,0.497,1.626
10,4546574317,0.592,0.497,1.632
1000000000000000000,1000000000000000000,0.573,0.509,1.602
8,3189992421,0.578,0.485,1.582
8,2788798701,0.581,0.491,1.676
1000000000000000000,1000000000000000000,0.008,0.197,0.008
1000000000000000000,1000000000000000000,0.57,0.519,1.573
5,1274940365,0.614,0.488,1.601
1000000000000000000,1000000000000000000,0.008,0.197,0.007
1000000000000000000,1000000000000000000,0.007,0.244,0.008
11,4420561083,0.553,0.466,1.494
1000000000000000000,1000000000000000000,0.008,0.196,0.008
15,5869968919,0.556,0.475,1.569
15,5494121887,0.594,0.469,1.534
1000000000000000000,1000000000000000000,0.557,0.471,1.534
9,4232987561,0.557,0.471,1.569
